TimeGenerated,Name,Url,Success,ResultCode,DurationMs
2025-04-15 07:35:03.318000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:35:03.497000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:35:03.663000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:35:03.852000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,2
2025-04-15 07:35:03.991000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:35:04.169000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:35:04.345000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:35:04.511000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:35:04.682000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:35:04.860000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,4
2025-04-15 07:40:03.018000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:40:03.281000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:40:11.960000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:40:12.160000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:40:12.361000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:40:12.544000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:40:12.750000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:47.324000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,2
2025-04-15 07:34:47.471000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:47.641000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:47.803000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:47.976000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:48.137000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:48.308000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:48.486000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:49.224000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:49.792000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:50.136000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:50.320000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:50.521000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:50.673000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:50.852000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:51.023000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:51.201000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:51.374000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:51.537000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:51.701000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:51.887000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:52.057000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:52.236000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:52.421000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:52.602000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:34:52.787000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:52.957000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:53.151000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:53.323000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:34:53.510000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:38:52.458000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,0
2025-04-15 07:38:52.657000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:38:52.866000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:38:53.057000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:38:53.287000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:39:44.622000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:39:54.829000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
2025-04-15 07:39:55.214000+00:00,GET /,https://steve-webapp-123.azurewebsites.net/,True,304,1
